Candidate_ID,Gender,Race,Age,Education,Experience_Years,Job_Role_Applied,Skills,Certifications,Screening_Score,Selected
C0094,Female,Hispanic,31,Bachelor,10,Sales Executive,"Networking, Presentation, Cold Calling",CFA,56.6,No
C0095,Female,White,30,Bachelor,11,Sales Executive,"Networking, CRM, Negotiation",CFA,66.3,No
C0096,Female,Asian,34,Bachelor,16,HR Manager,"Conflict Resolution, Communication, Leadership",None,81.4,No
C0097,Female,Other,35,Bachelor,13,Sales Executive,"Negotiation, Networking, Cold Calling",Scrum Master,84.9,No
C0098,Male,White,23,PhD,1,Data Scientist,"R, Deep Learning, Python",AWS,73.6,Yes
C0099,Male,White,35,High School,12,Sales Executive,"Networking, CRM, Cold Calling",None,68.0,No
C0100,Male,Black,22,Master,0,Data Scientist,"SQL, Python, Statistics",None,66.2,No
C0101,Male,White,33,Master,10,HR Manager,"Leadership, HR Policies, Recruitment",None,60.7,No
C0102,Female,Asian,33,Master,13,HR Manager,"Recruitment, HR Policies, Communication",Scrum Master,90.0,No
C0103,Male,Hispanic,20,Bachelor,0,HR Manager,"HR Policies, Leadership, Communication",AWS,71.5,No
C0104,Female,Black,30,Bachelor,7,Project Manager,"Leadership, Budgeting, Scrum",AWS,74.6,Yes
C0105,Non-binary,White,27,Master,4,Sales Executive,"Negotiation, Networking, CRM",None,76.8,Yes
C0106,Male,Black,25,High School,4,Software Engineer,"AWS, Git, Python",AWS,87.8,Yes
C0107,Male,Asian,38,Master,16,Software Engineer,"Python, AWS, Java",None,68.8,Yes
C0108,Female,White,26,Master,6,HR Manager,"Conflict Resolution, HR Policies, Communication",PMP,68.5,No
C0109,Male,Black,25,Master,1,Sales Executive,"Cold Calling, Negotiation, Presentation",None,81.3,No
C0110,Male,Asian,30,High School,5,Data Scientist,"Machine Learning, Statistics, R",None,55.1,No
C0111,Male,Asian,34,Master,15,Software Engineer,"SQL, AWS, C++",None,87.9,Yes
C0112,Male,White,29,Master,6,HR Manager,"Conflict Resolution, Communication, HR Policies",PMP,92.4,Yes
C0113,Non-binary,Asian,36,Master,11,Software Engineer,"AWS, C++, Python",None,72.5,No
C0114,Female,White,33,High School,11,Software Engineer,"Java, C++, Python",AWS,62.6,No
C0115,Female,White,20,High School,1,Software Engineer,"Python, AWS, Java",PMP,80.5,Yes
C0116,Female,Hispanic,26,Bachelor,3,HR Manager,"HR Policies, Conflict Resolution, Leadership",PMP,68.1,No
C0117,Female,Asian,26,High School,8,HR Manager,"Recruitment, HR Policies, Communication",None,71.4,No
C0118,Male,White,32,Bachelor,14,Project Manager,"Leadership, Budgeting, Scrum",AWS,77.2,No
C0119,Female,White,20,PhD,0,Project Manager,"Agile, Scheduling, Leadership",None,65.4,No
C0120,Female,White,45,Bachelor,24,Project Manager,"Budgeting, Leadership, Agile",AWS,75.5,Yes
C0121,Female,White,33,Master,8,Software Engineer,"Python, C++, Java",Scrum Master,57.4,No
C0122,Female,White,30,High School,11,Sales Executive,"Cold Calling, CRM, Networking",AWS,50.0,No
C0123,Male,White,37,Bachelor,16,HR Manager,"Leadership, Conflict Resolution, HR Policies",None,78.6,No
C0124,Male,Black,44,High School,25,Project Manager,"Agile, Scheduling, Budgeting",AWS,83.4,No
C0125,Male,Asian,35,Bachelor,11,Sales Executive,"CRM, Negotiation, Networking",None,67.9,Yes
C0126,Male,Asian,35,PhD,13,Project Manager,"Scheduling, Scrum, Budgeting",CFA,67.3,No
C0127,Female,Asian,30,High School,12,Project Manager,"Scrum, Agile, Scheduling",None,76.5,No
C0128,Female,White,29,Master,9,Sales Executive,"Cold Calling, Negotiation, CRM",PMP,71.8,No
C0129,Male,Other,27,Bachelor,2,Project Manager,"Scrum, Scheduling, Leadership",Scrum Master,67.3,No
C0130,Female,Hispanic,25,PhD,2,Software Engineer,"Python, C++, SQL",None,73.1,Yes
C0131,Male,Hispanic,25,High School,6,Software Engineer,"AWS, Java, Git",None,73.1,No
C0132,Male,Hispanic,21,Bachelor,2,Software Engineer,"Java, Git, SQL",Scrum Master,60.5,No
C0133,Male,Hispanic,29,High School,7,Data Scientist,"Python, R, Machine Learning",None,71.9,No
C0134,Male,Black,20,Bachelor,0,Project Manager,"Budgeting, Scrum, Scheduling",AWS,74.8,No
C0135,Non-binary,White,31,Bachelor,8,Data Scientist,"R, Python, Deep Learning",None,66.7,No
C0136,Male,Asian,29,Master,6,HR Manager,"Communication, Leadership, Conflict Resolution",PMP,82.3,No
C0137,Female,Asian,30,Master,11,Sales Executive,"CRM, Presentation, Networking",AWS,74.8,No
C0138,Female,Asian,26,Master,6,HR Manager,"HR Policies, Recruitment, Communication",Scrum Master,67.2,No
C0139,Male,Black,48,Bachelor,29,Data Scientist,"Python, R, Deep Learning",None,74.3,No
C0140,Non-binary,White,38,High School,18,Software Engineer,"C++, Git, Python",None,68.2,Yes
C0141,Non-binary,Black,22,Bachelor,3,Project Manager,"Leadership, Scheduling, Budgeting",Scrum Master,67.8,No
C0142,Male,Hispanic,31,PhD,12,Project Manager,"Scheduling, Budgeting, Leadership",None,71.1,No
C0143,Female,Black,26,Master,3,Software Engineer,"AWS, C++, Python",CFA,52.3,No
C0144,Male,Black,23,Master,3,Project Manager,"Agile, Leadership, Scheduling",None,73.3,No
C0145,Male,White,21,Master,0,Sales Executive,"Networking, Cold Calling, Negotiation",AWS,78.2,Yes
C0146,Male,Black,32,High School,7,Sales Executive,"Negotiation, Presentation, CRM",None,97.6,No
C0147,Female,Hispanic,25,Bachelor,6,Sales Executive,"Cold Calling, Presentation, Networking",AWS,74.4,No
C0148,Female,Asian,35,High School,11,HR Manager,"Conflict Resolution, Communication, Recruitment",PMP,63.5,No
C0149,Male,Asian,35,Bachelor,15,Software Engineer,"AWS, Java, C++",None,56.6,No
C0150,Male,Black,38,High School,17,Sales Executive,"Negotiation, Presentation, Networking",None,62.4,No
C0151,Non-binary,Asian,24,Bachelor,6,Data Scientist,"SQL, Statistics, R",None,65.0,Yes
C0152,Male,White,32,Master,11,Sales Executive,"Cold Calling, Presentation, Negotiation",None,70.2,No
C0153,Male,Asian,33,Master,12,HR Manager,"HR Policies, Conflict Resolution, Leadership",None,70.6,No
C0154,Female,Black,27,Master,3,Data Scientist,"Python, Machine Learning, SQL",AWS,66.0,No
C0155,Non-binary,Black,25,PhD,2,Software Engineer,"Git, SQL, C++",Scrum Master,67.7,No
C0156,Male,Asian,39,High School,16,Software Engineer,"SQL, C++, Java",None,68.8,No
C0157,Female,Hispanic,31,High School,13,Sales Executive,"CRM, Presentation, Cold Calling",None,70.2,No
C0158,Female,White,33,Master,15,Data Scientist,"Deep Learning, R, Machine Learning",None,63.0,No
C0159,Male,Hispanic,25,Bachelor,3,Data Scientist,"Deep Learning, SQL, Python",None,60.4,No
C0160,Female,White,22,Bachelor,4,Sales Executive,"Cold Calling, Networking, Negotiation",None,69.6,No
C0161,Male,Black,26,Bachelor,5,Sales Executive,"Presentation, Cold Calling, CRM",None,77.3,No
C0162,Female,White,29,Bachelor,8,Project Manager,"Budgeting, Scheduling, Leadership",PMP,60.8,No
C0163,Female,White,23,Bachelor,0,Project Manager,"Scrum, Budgeting, Leadership",PMP,66.3,No
C0164,Female,Black,29,Bachelor,8,Sales Executive,"CRM, Negotiation, Networking",None,68.5,No
C0165,Male,White,20,Bachelor,0,HR Manager,"Conflict Resolution, HR Policies, Communication",None,73.3,No
C0166,Female,Black,23,Master,4,Project Manager,"Scrum, Leadership, Agile",None,77.5,Yes
C0167,Male,Hispanic,34,Bachelor,15,Sales Executive,"CRM, Networking, Negotiation",PMP,82.4,Yes
C0168,Male,White,33,Bachelor,10,Data Scientist,"Python, R, Deep Learning",None,77.2,No
C0169,Male,Asian,27,Bachelor,7,Project Manager,"Scheduling, Agile, Scrum",None,85.1,Yes
C0170,Female,Black,23,Bachelor,0,HR Manager,"Leadership, Recruitment, HR Policies",None,66.3,No
C0171,Female,Asian,23,Master,0,Software Engineer,"Git, SQL, AWS",PMP,78.4,No
C0172,Male,White,27,Master,2,Data Scientist,"Deep Learning, R, SQL",None,68.9,No
C0173,Female,White,33,Master,8,HR Manager,"Communication, Conflict Resolution, Recruitment",None,75.0,Yes
C0174,Male,White,35,Bachelor,10,HR Manager,"Recruitment, Conflict Resolution, HR Policies",None,81.4,No
C0175,Female,White,27,Bachelor,3,HR Manager,"Conflict Resolution, Leadership, Communication",None,72.6,No
C0176,Male,White,23,Bachelor,1,Data Scientist,"SQL, R, Python",None,65.4,No
C0177,Female,Asian,31,Bachelor,9,HR Manager,"Leadership, Recruitment, Conflict Resolution",AWS,53.3,No
C0178,Male,Hispanic,25,Bachelor,2,Software Engineer,"Git, AWS, C++",Scrum Master,78.6,Yes
C0179,Non-binary,Hispanic,26,Bachelor,7,Project Manager,"Budgeting, Scheduling, Leadership",None,67.3,No
C0180,Male,Asian,37,Bachelor,16,Data Scientist,"Deep Learning, R, Statistics",PMP,71.0,No
C0181,Male,White,34,Master,9,HR Manager,"Leadership, HR Policies, Communication",None,90.0,No
C0182,Male,White,30,High School,8,Sales Executive,"Cold Calling, Presentation, Networking",PMP,65.5,No
C0183,Non-binary,White,22,Master,0,Project Manager,"Scrum, Leadership, Scheduling",Scrum Master,79.4,Yes
C0184,Female,White,31,High School,6,Data Scientist,"Python, Machine Learning, R",None,64.6,No
C0185,Male,Black,36,High School,17,Sales Executive,"Cold Calling, Networking, CRM",AWS,71.2,No
C0186,Female,Black,27,PhD,3,Sales Executive,"Networking, Negotiation, Presentation",None,59.1,No
C0187,Female,Black,38,PhD,14,HR Manager,"Recruitment, Conflict Resolution, Leadership",None,62.6,No
C0188,Female,Black,37,High School,19,Data Scientist,"Statistics, R, SQL",AWS,74.1,No
C0189,Female,Hispanic,39,Bachelor,17,HR Manager,"Communication, Leadership, Recruitment",None,82.9,No
C0190,Male,Asian,31,Bachelor,13,Software Engineer,"C++, AWS, SQL",AWS,77.2,Yes
C0191,Male,White,33,Bachelor,9,Sales Executive,"Presentation, Negotiation, Networking",CFA,78.1,No
C0192,Female,Hispanic,38,Master,18,Software Engineer,"SQL, Git, Python",AWS,95.5,Yes
C0193,Non-binary,Other,32,PhD,7,HR Manager,"Conflict Resolution, Leadership, Recruitment",AWS,75.6,No
C0194,Female,White,26,Master,7,Project Manager,"Agile, Leadership, Scrum",None,62.7,No
C0195,Male,Black,27,Bachelor,5,Sales Executive,"Presentation, Networking, Cold Calling",None,56.2,No
C0196,Male,Black,31,Master,6,Project Manager,"Scheduling, Scrum, Budgeting",AWS,76.8,No
C0197,Female,Hispanic,22,Bachelor,0,Data Scientist,"R, Machine Learning, Deep Learning",None,55.9,No
C0198,Female,Hispanic,29,PhD,4,Sales Executive,"Presentation, Negotiation, CRM",None,60.0,No
C0199,Female,White,36,Master,12,Software Engineer,"C++, SQL, Java",None,75.0,No
C0200,Female,Black,20,Bachelor,1,Project Manager,"Budgeting, Scrum, Leadership",Scrum Master,80.4,No
C0201,Female,Black,39,Bachelor,15,Data Scientist,"SQL, Python, Deep Learning",None,67.1,No
C0202,Male,Black,36,Bachelor,11,Sales Executive,"Networking, Negotiation, Presentation",CFA,60.9,No
C0203,Male,White,27,High School,8,Data Scientist,"Statistics, Deep Learning, R",None,73.5,No
C0204,Female,Hispanic,33,Master,9,Software Engineer,"SQL, Java, Python",None,67.3,No
C0205,Female,Asian,30,Bachelor,12,Sales Executive,"Cold Calling, Presentation, CRM",PMP,71.2,No
C0206,Male,Hispanic,37,Bachelor,17,Data Scientist,"R, Deep Learning, Machine Learning",AWS,61.0,No
C0207,Male,Hispanic,35,Bachelor,12,HR Manager,"HR Policies, Leadership, Recruitment",PMP,64.6,No
C0208,Female,Asian,21,Master,0,Sales Executive,"Presentation, Cold Calling, Negotiation",AWS,80.2,No
C0209,Male,Black,33,High School,10,Sales Executive,"Presentation, Negotiation, Cold Calling",PMP,80.6,No
C0210,Male,Asian,28,Master,3,Sales Executive,"Networking, Negotiation, CRM",None,84.6,No
C0211,Female,White,30,Master,6,Sales Executive,"CRM, Negotiation, Cold Calling",Scrum Master,53.5,No
C0212,Female,Asian,25,PhD,1,HR Manager,"Communication, Conflict Resolution, Leadership",Scrum Master,61.1,No
C0213,Female,White,40,Bachelor,21,Software Engineer,"Java, Python, Git",Scrum Master,81.9,Yes
C0214,Male,Asian,36,Bachelor,14,HR Manager,"Recruitment, Conflict Resolution, Leadership",AWS,78.9,Yes
C0215,Female,White,25,Bachelor,5,HR Manager,"Communication, Recruitment, Leadership",Scrum Master,76.1,No
C0216,Male,White,21,Bachelor,3,Data Scientist,"Statistics, Machine Learning, SQL",None,71.4,Yes
C0217,Male,White,27,Bachelor,5,Project Manager,"Scrum, Agile, Budgeting",AWS,68.8,No
C0218,Female,White,32,Master,9,Project Manager,"Leadership, Agile, Scheduling",None,72.3,No
C0219,Female,Asian,31,Bachelor,7,Data Scientist,"Python, Machine Learning, Deep Learning",Scrum Master,65.5,Yes
C0220,Female,Asian,37,Master,15,HR Manager,"Leadership, Recruitment, Communication",None,75.3,Yes
C0221,Female,Black,34,High School,10,Data Scientist,"SQL, R, Python",AWS,70.4,No
C0222,Female,White,35,Master,10,Sales Executive,"Cold Calling, Negotiation, Networking",None,62.3,No
C0223,Male,White,31,Master,9,Data Scientist,"Python, Machine Learning, Deep Learning",None,81.3,Yes
C0224,Male,White,21,Master,0,Data Scientist,"Statistics, Machine Learning, Python",None,87.5,No
C0225,Male,White,28,Master,9,Sales Executive,"Networking, Cold Calling, Negotiation",None,88.2,Yes
C0226,Male,Hispanic,36,Master,14,Project Manager,"Budgeting, Scheduling, Agile",None,79.7,No
C0227,Non-binary,White,29,PhD,5,Sales Executive,"Presentation, Cold Calling, Networking",None,78.9,No
C0228,Male,Black,33,Bachelor,12,Software Engineer,"SQL, Java, Git",None,61.4,No
C0229,Female,White,28,Bachelor,7,Data Scientist,"R, SQL, Machine Learning",None,65.3,No
C0230,Female,White,23,High School,4,Data Scientist,"SQL, Statistics, Deep Learning",None,70.3,No
C0231,Female,Black,29,High School,10,Project Manager,"Budgeting, Scheduling, Leadership",CFA,75.9,Yes
C0232,Female,Asian,31,Bachelor,11,HR Manager,"Conflict Resolution, HR Policies, Recruitment",PMP,64.0,No
C0233,Female,White,26,High School,7,Sales Executive,"CRM, Negotiation, Networking",None,68.9,No
C0234,Female,White,28,Bachelor,4,HR Manager,"Leadership, Recruitment, Conflict Resolution",Scrum Master,77.6,No
C0235,Male,Black,24,Bachelor,6,Software Engineer,"AWS, Git, SQL",None,74.4,No
C0236,Female,White,36,High School,11,Sales Executive,"Cold Calling, Negotiation, CRM",AWS,75.3,No
C0237,Male,White,28,PhD,6,Software Engineer,"C++, Java, SQL",Scrum Master,67.2,No
C0238,Male,Other,38,High School,19,Software Engineer,"Java, C++, AWS",None,69.8,No
C0239,Female,Asian,39,Master,18,Software Engineer,"C++, Git, AWS",None,65.3,No
C0240,Male,Black,29,Bachelor,4,Sales Executive,"Networking, Negotiation, Cold Calling",Scrum Master,73.0,No
C0241,Non-binary,Black,23,PhD,5,Sales Executive,"CRM, Negotiation, Presentation",PMP,65.7,No
C0242,Non-binary,Black,20,Master,0,Project Manager,"Budgeting, Scheduling, Leadership",PMP,64.3,No
C0243,Non-binary,Black,21,Master,0,Data Scientist,"R, Deep Learning, SQL",None,71.3,No
C0244,Male,Asian,21,Master,0,HR Manager,"Leadership, Communication, Conflict Resolution",PMP,94.0,No
C0245,Male,Asian,38,High School,20,HR Manager,"HR Policies, Recruitment, Leadership",None,78.8,No
C0246,Non-binary,White,30,PhD,12,Software Engineer,"Git, Java, C++",None,54.2,No
C0247,Male,Black,32,Master,12,Sales Executive,"Networking, Cold Calling, CRM",None,76.5,Yes
C0248,Non-binary,Black,20,Master,0,Sales Executive,"Networking, Cold Calling, CRM",AWS,64.9,No
C0249,Non-binary,Hispanic,22,Master,0,Software Engineer,"Git, AWS, C++",AWS,60.6,Yes
C0250,Female,Asian,35,Bachelor,17,Data Scientist,"Machine Learning, Deep Learning, Statistics",CFA,77.0,No
C0251,Male,Black,31,Master,9,HR Manager,"HR Policies, Conflict Resolution, Communication",CFA,73.8,No
C0252,Male,White,29,Bachelor,4,Project Manager,"Agile, Scrum, Budgeting",AWS,99.9,No
C0253,Female,Asian,33,Bachelor,9,Data Scientist,"Python, SQL, R",None,68.9,No
C0254,Male,White,39,High School,21,Sales Executive,"CRM, Networking, Cold Calling",Scrum Master,72.7,No
C0255,Male,White,28,PhD,4,Software Engineer,"SQL, C++, AWS",PMP,87.0,No
C0256,Female,White,30,High School,5,HR Manager,"Communication, Recruitment, Leadership",PMP,72.2,No
C0257,Non-binary,Asian,31,Bachelor,11,Software Engineer,"Java, C++, Git",None,59.4,Yes
C0258,Female,White,44,Bachelor,20,Sales Executive,"Cold Calling, Negotiation, Networking",AWS,63.2,No
C0259,Female,Black,20,Master,0,Software Engineer,"AWS, Java, C++",AWS,66.7,No
C0260,Male,Hispanic,34,Master,11,HR Manager,"Communication, Conflict Resolution, HR Policies",PMP,79.6,No
C0261,Female,White,29,Bachelor,7,Software Engineer,"C++, Java, SQL",None,84.7,No
C0262,Non-binary,Black,33,High School,14,HR Manager,"Communication, Conflict Resolution, HR Policies",None,78.0,Yes
C0263,Male,Black,26,Master,3,Software Engineer,"C++, SQL, AWS",PMP,78.7,Yes
C0264,Female,White,29,PhD,6,Software Engineer,"SQL, C++, Java",AWS,83.0,Yes
C0265,Female,Asian,34,Master,14,HR Manager,"Communication, HR Policies, Recruitment",PMP,76.2,Yes
C0266,Female,White,48,Bachelor,28,Software Engineer,"Python, Git, SQL",None,63.0,No
C0267,Female,Black,34,PhD,15,Data Scientist,"Deep Learning, Python, SQL",PMP,67.8,No
C0268,Female,Black,24,Bachelor,3,Project Manager,"Scrum, Scheduling, Leadership",None,64.8,No
C0269,Male,Asian,27,Bachelor,8,Data Scientist,"Machine Learning, Python, R",AWS,85.6,No
C0270,Male,Asian,27,Bachelor,6,Project Manager,"Agile, Budgeting, Leadership",AWS,63.5,No
C0271,Female,White,20,Bachelor,0,Data Scientist,"SQL, Statistics, R",AWS,62.6,No
